,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
115,Go First,G8-7555/571,"Sun, Mar 6",New Delhi,Goa,9h 00m,1 Stop,"3,882"
116,Go First,G8-7535/384,"Sun, Mar 6",New Delhi,Goa,6h 25m,1 Stop,"3,894"
117,Go First,G8-7534/384,"Sun, Mar 6",New Delhi,Goa,7h 55m,1 Stop,"3,894"
118,Go First,G8-392/384,"Sun, Mar 6",New Delhi,Goa,8h 25m,1 Stop,"3,894"
119,Go First,G8-336/384,"Sun, Mar 6",New Delhi,Goa,9h 05m,1 Stop,"3,894"
120,IndiGo,6E-5012,"Wed, Apr 13",New Delhi,Chennai,2h 55m,Non Stop,"1,999"
121,Vistara,UK-833,"Wed, Apr 13",New Delhi,Chennai,2h 45m,Non Stop,"2,049"
122,IndiGo,6E-6231/756,"Wed, Apr 13",New Delhi,Chennai,5h 35m,1 Stop,"2,050"
123,IndiGo,6E-6205/102,"Wed, Apr 13",New Delhi,Chennai,5h 55m,1 Stop,"2,050"
124,IndiGo,6E-552/514,"Wed, Apr 13",New Delhi,Chennai,7h 15m,1 Stop,"2,050"
125,IndiGo,6E-6205/6174,"Wed, Apr 13",New Delhi,Chennai,7h 20m,1 Stop,"2,050"
126,IndiGo,6E-2331/514,"Wed, Apr 13",New Delhi,Chennai,8h 30m,1 Stop,"2,050"
127,IndiGo,6E-6205/6216,"Wed, Apr 13",New Delhi,Chennai,9h 05m,1 Stop,"2,050"
128,IndiGo,6E-552/668,"Wed, Apr 13",New Delhi,Chennai,9h 35m,1 Stop,"2,050"
129,IndiGo,6E-2331/668,"Wed, Apr 13",New Delhi,Chennai,10h 50m,1 Stop,"2,050"
130,IndiGo,6E-2147/413,"Sun, Mar 20",New Delhi,Bangalore,11h 00m,1 Stop,"2,810"
131,IndiGo,6E-2331/827,"Sun, Mar 20",New Delhi,Bangalore,6h 35m,1 Stop,"2,863"
132,IndiGo,6E-221/681,"Sun, Mar 20",New Delhi,Bangalore,5h 15m,1 Stop,"3,091"
133,IndiGo,6E-2769/302,"Sun, Mar 20",New Delhi,Bangalore,6h 15m,1 Stop,"3,091"
134,IndiGo,6E-2753/103,"Sun, Mar 20",New Delhi,Bangalore,6h 30m,1 Stop,"3,091"
135,IndiGo,6E-2753/681,"Sun, Mar 20",New Delhi,Bangalore,9h 10m,1 Stop,"3,091"
136,IndiGo,6E-2471/302,"Sun, Mar 20",New Delhi,Bangalore,10h 50m,1 Stop,"3,091"
137,Vistara,UK-811,"Sun, Mar 20",New Delhi,Bangalore,2h 45m,Non Stop,"3,169"
138,Vistara,UK-815,"Sun, Mar 20",New Delhi,Bangalore,2h 45m,Non Stop,"3,169"
139,Vistara,UK-801,"Sun, Mar 20",New Delhi,Bangalore,2h 45m,Non Stop,"3,169"
140,Air India,AI-544,"Wed, Mar 2",New Delhi,Hyderabad,2h 05m,Non Stop,"2,098"
141,Air India,AI-542,"Wed, Mar 2",New Delhi,Hyderabad,2h 10m,Non Stop,"2,098"
142,Air India,AI-839,"Wed, Mar 2",New Delhi,Hyderabad,2h 10m,Non Stop,"2,098"
143,Air India,AI-837,"Wed, Mar 2",New Delhi,Hyderabad,2h 15m,Non Stop,"2,098"
144,Air India,AI-560,"Wed, Mar 2",New Delhi,Hyderabad,2h 20m,Non Stop,"2,098"
145,IndiGo,6E-2843/6266,"Wed, Mar 2",New Delhi,Hyderabad,5h 35m,1 Stop,"2,098"
146,IndiGo,6E-2479/7137,"Wed, Mar 2",New Delhi,Hyderabad,7h 00m,1 Stop,"2,098"
147,IndiGo,6E-2618/6266,"Wed, Mar 2",New Delhi,Hyderabad,7h 35m,1 Stop,"2,098"
148,IndiGo,6E-397/6266,"Wed, Mar 2",New Delhi,Hyderabad,8h 45m,1 Stop,"2,098"
149,IndiGo,6E-369/752,"Wed, Mar 2",New Delhi,Hyderabad,9h 05m,1 Stop,"2,098"
150,Go First,G8-188/163,"Tue, Apr 12",New Delhi,Kolkata,4h 55m,1 Stop,"2,112"
151,Go First,G8-268/163,"Tue, Apr 12",New Delhi,Kolkata,9h 35m,1 Stop,"2,112"
152,IndiGo,6E-2513,"Tue, Apr 12",New Delhi,Kolkata,2h 05m,Non Stop,"2,480"
153,IndiGo,6E-282,"Tue, Apr 12",New Delhi,Kolkata,2h 05m,Non Stop,"2,480"
154,IndiGo,6E-6271,"Tue, Apr 12",New Delhi,Kolkata,2h 05m,Non Stop,"2,480"
155,IndiGo,6E-2841,"Tue, Apr 12",New Delhi,Kolkata,2h 05m,Non Stop,"2,480"
156,IndiGo,6E-353,"Tue, Apr 12",New Delhi,Kolkata,2h 10m,Non Stop,"2,480"
157,IndiGo,6E-2016,"Tue, Apr 12",New Delhi,Kolkata,2h 15m,Non Stop,"2,480"
158,IndiGo,6E-947/104,"Tue, Apr 12",New Delhi,Kolkata,6h 00m,1 Stop,"2,480"
159,IndiGo,6E-5037/323,"Tue, Apr 12",New Delhi,Kolkata,8h 45m,1 Stop,"2,480"
160,SpiceJet,SG-8253/8263,"Sat, Feb 5",New Delhi,Port Blair,15h 10m,1 Stop,"9,348"
161,Go First,G8-103/101,"Sat, Feb 5",New Delhi,Port Blair,15h 35m,1 Stop,"9,354"
162,SpiceJet,SG-8263,"Sat, Feb 5",New Delhi,Port Blair,5h 00m,1 Stop,"9,498"
163,Air India,AI-540/549,"Sat, Feb 5",New Delhi,Port Blair,11h 35m,1 Stop,"10,208"
164,Air India,AI-537/549,"Sat, Feb 5",New Delhi,Port Blair,16h 00m,1 Stop,"10,208"
165,Air India,AI-429/549,"Sat, Feb 5",New Delhi,Port Blair,22h 25m,1 Stop,"10,208"
166,Air India,AI-439/549,"Sat, Feb 5",New Delhi,Port Blair,26h 10m,1 Stop,"10,208"
167,Vistara,UK-727/747,"Sat, Feb 5",New Delhi,Port Blair,15h 05m,1 Stop,"10,607"
168,Vistara,UK-747,"Sat, Feb 5",New Delhi,Port Blair,5h 05m,1 Stop,"10,680"
169,Vistara,UK-707/747,"Sat, Feb 5",New Delhi,Port Blair,18h 05m,1 Stop,"10,712"
170,IndiGo,6E-2022,"Mon, Mar 21",New Delhi,Patna,1h 30m,Non Stop,"2,190"
171,IndiGo,6E-5336,"Mon, Mar 21",New Delhi,Patna,1h 30m,Non Stop,"2,190"
172,IndiGo,6E-5003,"Mon, Mar 21",New Delhi,Patna,1h 35m,Non Stop,"2,190"
